Entity,Year,fish-discards
Togo,1986,406.4905795
Togo,1987,513.761104
Togo,1988,606.8079586
Togo,1989,577.1671441
Togo,1990,680.9423699
Togo,1991,561.5752458
Togo,1992,453.7538981
Togo,1993,405.573213
Togo,1994,359.490574
Togo,1995,357.0526969
Togo,1996,313.2419748
Togo,1997,312.906452
Togo,1998,348.0292026
Togo,1999,358.8741915
Togo,2000,250.7556119
Togo,2001,261.0551609
Togo,2002,224.935905
Togo,2003,212.5380115
Togo,2004,213.8645467
Togo,2005,176.2922875
Togo,2006,149.6491807
Togo,2007,155.9292875
Togo,2008,138.7682875
Togo,2009,163.5326677
Togo,2010,183.1101458
Togo,2011,165.8417307
Togo,2012,204.2761644
Togo,2013,189.8166399
Togo,2014,147.8714529
Togo,2015,157.9025777
Togo,2016,164.7898241
Togo,2017,158.176377
Togo,2018,1.208137751
Tonga,1982,11.48053505
Tonga,1983,12.43755842
Tonga,1984,13.33124326
Tonga,1985,15.52810249
Tonga,1986,16.6622384
Tonga,1987,102.7388258
Tonga,1988,93.2275892
Tonga,1989,14.50247071
Tonga,1990,11.24867957
Tonga,1991,12.97355945
Tonga,1992,16.32123175
Tonga,1993,22.80887506
Tonga,1994,116.1629903
Tonga,1995,107.8555269
Tonga,1996,108.9023441
Tonga,1997,220.8453958
Tonga,1998,241.3298776
Tonga,1999,271.5435823
Tonga,2000,259.4358968
Tonga,2001,397.9691017
Tonga,2002,392.3581715
Tonga,2003,257.564221
Tonga,2004,8.148277284
Tonga,2005,86.48618433
Tonga,2006,85.29016822
Tonga,2007,161.4288534
Tonga,2008,77.49414317
Tonga,2009,3.540806512
Trinidad and Tobago,1950,244.4570539
Trinidad and Tobago,1951,240.8683418
Trinidad and Tobago,1952,236.2592267
Trinidad and Tobago,1953,230.6297089
Trinidad and Tobago,1954,1456.084492
Trinidad and Tobago,1955,1805.529698
Trinidad and Tobago,1956,2154.974904
Trinidad and Tobago,1957,2504.42011
Trinidad and Tobago,1958,2437.743833
Trinidad and Tobago,1959,2371.067556
Trinidad and Tobago,1960,2304.391279
Trinidad and Tobago,1961,2237.715001
Trinidad and Tobago,1962,2293.333435
Trinidad and Tobago,1963,223.2010441
Trinidad and Tobago,1964,2372.280623
Trinidad and Tobago,1965,2395.609366
Trinidad and Tobago,1966,2418.938109
Trinidad and Tobago,1967,2442.266852
Trinidad and Tobago,1968,8287.853033
Trinidad and Tobago,1969,11044.0841
Trinidad and Tobago,1970,10419.85208
Trinidad and Tobago,1971,9787.648012
Trinidad and Tobago,1972,9142.222972
Trinidad and Tobago,1973,8520.319468
Trinidad and Tobago,1974,7917.258674
Trinidad and Tobago,1975,7391.006762
Trinidad and Tobago,1976,6816.412604
Trinidad and Tobago,1977,6273.864678
Trinidad and Tobago,1978,5769.375722
Trinidad and Tobago,1979,5222.637458
Trinidad and Tobago,1980,4740.570908
Trinidad and Tobago,1981,4251.213333
Trinidad and Tobago,1982,3814.927661
Trinidad and Tobago,1983,3556.667845
Trinidad and Tobago,1984,3000.246588
Trinidad and Tobago,1985,2596.172259
Trinidad and Tobago,1986,2174.265485
Trinidad and Tobago,1987,13051.58197
Trinidad and Tobago,1988,7756.075119
Trinidad and Tobago,1989,5419.844283
Trinidad and Tobago,1990,8607.438234
Trinidad and Tobago,1991,7382.92039
Trinidad and Tobago,1992,7559.491425
Trinidad and Tobago,1993,4445.964322
Trinidad and Tobago,1994,4261.902376
Trinidad and Tobago,1995,5140.58027
Trinidad and Tobago,1996,4387.030629
Trinidad and Tobago,1997,4562.066701
Trinidad and Tobago,1998,4345.413897
Trinidad and Tobago,1999,4357.62478
Trinidad and Tobago,2000,3924.012046
Trinidad and Tobago,2001,5827.461876
Trinidad and Tobago,2002,6028.932894
Trinidad and Tobago,2003,4865.088244
Trinidad and Tobago,2004,5356.817542
Trinidad and Tobago,2005,6203.980634
Trinidad and Tobago,2006,4719.531037
Trinidad and Tobago,2007,4401.752426
Trinidad and Tobago,2008,4852.017374
Trinidad and Tobago,2009,4714.098851
Trinidad and Tobago,2010,4771.951452
Trinidad and Tobago,2011,4577.883312
Trinidad and Tobago,2012,4083.96508
Trinidad and Tobago,2013,4742.208706
Trinidad and Tobago,2014,7639.500182
Trinidad and Tobago,2015,5462.552879
Trinidad and Tobago,2016,7182.191654
Trinidad and Tobago,2017,8637.739825
Trinidad and Tobago,2018,6663.850614
Tunisia,1950,1760.7175
Tunisia,1951,1652.935
Tunisia,1952,1656.1575
Tunisia,1953,1582.705
Tunisia,1954,1515.18
Tunisia,1955,1458.41
Tunisia,1956,1164.5
Tunisia,1957,1413.855
Tunisia,1958,1292.19
Tunisia,1959,1567.97
Tunisia,1960,1575.61
Tunisia,1961,1561.935
Tunisia,1962,1818.19
Tunisia,1963,3858.9575
Tunisia,1964,2592.605
Tunisia,1965,3237.985
Tunisia,1966,3304.0675
Tunisia,1967,4418.28
Tunisia,1968,4477.6
Tunisia,1969,4402.95
Tunisia,1970,3739.22
Tunisia,1971,3751.59
Tunisia,1972,4461.16
Tunisia,1973,4686.87
Tunisia,1974,3349.974097
Tunisia,1975,4063.607535
Tunisia,1976,4207.717174
Tunisia,1977,5470.486455
Tunisia,1978,5012.802527
Tunisia,1979,5300.499685
Tunisia,1980,5602.227749
Tunisia,1981,6092.933152
Tunisia,1982,7094.45128
Tunisia,1983,8343.914576
Tunisia,1984,9704.020313
Tunisia,1985,9624.496846
Tunisia,1986,9115.599448
Tunisia,1987,9762.727793
Tunisia,1988,9436.073671
Tunisia,1989,9884.410998
Tunisia,1990,9140.218377
Tunisia,1991,8604.793075
Tunisia,1992,8485.54312
